Date,Time,CO,NMHC,Nox,NO2,T,RH,AH
20040315,0100,1.8,73,106,93,14.0,57.0,0.9094
20040315,0200,1.8,66,108,88,13.4,61.3,0.9361
20040315,0300,1.1,44,-200,-200,12.6,63.5,0.9230
20040315,0400,-200,44,66,71,12.3,65.4,0.9351
20040315,0500,1,39,88,74,11.9,67.4,0.9375
20040315,0600,1.4,51,138,80,11.4,70.5,0.9475
20040315,0700,2.2,107,228,89,11.3,70.2,0.9401
20040315,0800,5.5,336,360,114,12.4,63.9,0.9170
20040315,0900,8.1,618,478,149,14.8,54.3,0.9076
20040315,1000,5.8,438,394,157,17.4,45.6,0.8993
20040315,1100,4.2,334,319,155,19.8,38.5,0.8801
20040315,1200,3.1,221,201,134,22.0,34.1,0.8904
20040315,1300,2.9,207,171,119,23.3,32.2,0.9096
20040315,1400,2.9,191,159,111,23.9,30.0,0.8757
20040315,1500,2.5,185,153,104,24.4,28.9,0.8736
20040315,1600,2.3,141,143,99,24.4,29.4,0.8848
20040315,1700,2.8,214,156,110,23.8,31.3,0.9137
20040315,1800,6.1,471,314,162,22.5,35.4,0.9547
20040315,1900,8,685,404,187,20.4,42.5,1.0086
20040315,2000,6.5,538,320,165,18.3,52.6,1.0945
20040315,2100,4.2,319,256,145,16.7,57.4,1.0786
20040315,2200,3.2,224,193,125,15.7,60.2,1.0654
20040315,2300,1.4,67,89,101,15.3,61.4,1.0580
20040316,0000,2.1,155,127,103,14.1,65.7,1.0494
20040316,0100,1.2,49,79,88,14.8,60.6,1.0148
20040316,0200,0.8,29,43,61,14.8,59.2,0.9879
20040316,0300,0.7,25,-200,-200,13.6,62.1,0.9636
20040316,0400,-200,25,59,59,12.3,66.2,0.9450
20040316,0500,0.6,17,38,52,12.8,63.2,0.9283
20040316,0600,0.9,27,82,64,11.2,68.5,0.9081
20040316,0700,1.3,50,99,70,11.0,66.5,0.8705
20040316,0800,3.4,218,263,97,11.7,63.7,0.8719
20040316,0900,3.7,285,229,95,13.6,56.3,0.8743
20040316,1000,5.3,437,396,150,17.8,42.9,0.8672
20040316,1100,4.1,327,314,162,21.4,33.3,0.8417
20040316,1200,3.3,283,217,154,24.4,27.4,0.8231
20040316,1300,4,366,252,161,25.3,26.1,0.8264
20040316,1400,3.8,318,263,161,25.8,23.2,0.7589
20040316,1500,2.8,228,180,128,27.0,20.2,0.7094
20040316,1600,2.9,201,184,129,28.2,18.6,0.7014
20040316,1700,2.9,199,190,133,28.0,19.1,0.7098
20040316,1800,3.4,237,184,139,23.9,25.7,0.7519
20040316,1900,3.9,261,181,137,21.3,34.8,0.8730
20040316,2000,3.2,230,166,143,20.4,36.7,0.8704
20040316,2100,5.1,349,317,177,19.0,41.3,0.9007
20040316,2200,2.6,183,184,138,17.9,45.9,0.9342
20040316,2300,1.7,88,130,117,16.7,48.9,0.9226
20040317,0000,1.7,85,132,107,15.5,52.9,0.9271
20040317,0100,1.2,47,95,90,15.5,51.9,0.9059
20040317,0200,0.9,34,70,79,14.1,55.6,0.8910
20040317,0300,0.7,26,-200,-200,13.1,57.9,0.8666
20040317,0400,-200,17,54,60,12.7,57.9,0.8447
20040317,0500,0.5,11,28,40,11.8,58.0,0.8026
20040317,0600,0.5,18,46,53,11.9,57.4,0.7978
20040317,0700,1.6,84,160,84,9.9,65.2,0.7956
20040317,0800,4.1,260,320,108,11.1,60.2,0.7958
20040317,0900,6.6,534,377,127,14.1,50.0,0.8020
20040317,1000,4.3,368,280,134,17.7,40.1,0.8048
20040317,1100,2.9,200,221,135,21.1,33.4,0.8265
20040317,1200,2.5,145,210,142,24.3,28.3,0.8471
20040317,1300,2.8,188,204,153,25.6,25.6,0.8254
20040317,1400,2.6,152,161,123,25.9,25.9,0.8503
20040317,1500,2,103,135,104,26.8,18.7,0.6500
20040317,1600,2.9,193,186,129,29.3,15.8,0.6309
20040317,1700,2.5,134,147,114,28.5,14.9,0.5708
20040317,1800,5,386,299,158,25.9,16.0,0.5237
20040317,1900,7.6,577,411,194,23.1,26.5,0.7403
20040317,2000,6.7,523,347,182,20.5,38.2,0.9133
20040317,2100,5.7,472,336,180,19.1,42.6,0.9294
20040317,2200,2.8,206,202,136,17.2,44.1,0.8558
20040317,2300,2.6,216,178,127,16.0,50.9,0.9206
20040318,0000,2.3,159,154,116,14.8,53.9,0.9024
20040318,0100,1.4,70,92,107,14.3,55.4,0.8975
20040318,0200,1,44,61,88,14.8,52.1,0.8686
20040318,0300,0.7,42,-200,-200,13.9,53.9,0.8501
20040318,0400,-200,28,60,78,11.6,61.9,0.8442
20040318,0500,0.6,20,37,57,12.0,58.9,0.8233
20040318,0600,0.7,26,68,71,10.9,62.1,0.8113
20040318,0700,1.5,78,139,85,10.6,63.3,0.8067
20040318,0800,4.7,319,339,124,11.5,60.0,0.8117
20040318,0900,6.6,506,421,151,14.3,50.6,0.8186
20040318,1000,4.5,-200,349,150,17.8,40.5,0.8210
20040318,1100,2.8,-200,224,152,20.8,34.4,0.8365
20040318,1200,2.2,-200,171,139,23.8,28.2,0.8219
20040318,1300,2.2,-200,149,133,24.2,28.7,0.8515
20040318,1400,2.3,-200,137,126,25.2,24.9,0.7829
20040318,1500,2.2,-200,149,128,27.0,17.8,0.6275
20040318,1600,2.8,-200,172,169,27.1,23.1,0.8180
20040318,1700,2.7,-200,166,149,25.8,23.9,0.7832
20040318,1800,3.7,-200,214,156,23.0,26.8,0.7446
20040318,1900,5.1,-200,280,168,20.7,31.1,0.7523
20040318,2000,5.1,-200,276,176,18.6,36.2,0.7676
20040318,2100,3.2,-200,178,135,16.0,48.4,0.8768
20040318,2200,2.1,-200,129,121,14.5,57.8,0.9456
20040318,2300,1.7,-200,95,99,13.1,64.2,0.9606
20040319,0000,2,-200,126,106,12.0,69.7,0.9735
20040319,0100,1.6,-200,103,96,11.9,71.1,0.9915
20040319,0200,0.9,-200,48,63,12.5,69.3,1.0029
20040319,0300,0.7,-200,-200,-200,12.5,67.5,0.9768
20040319,0400,-200,-200,20,32,12.3,67.7,0.9665
20040319,0500,0.5,-200,18,28,12.5,66.8,0.9620
20040319,0600,0.7,-200,56,61,12.3,66.3,0.9487
20040319,0700,1.5,-200,115,99,12.4,64.9,0.9332
20040319,0800,4.8,-200,320,157,13.0,61.6,0.9209
20040319,0900,6.2,-200,357,166,13.6,58.8,0.9120
20040319,1000,4,-200,253,149,13.9,57.1,0.9032
20040319,1100,3.3,-200,218,135,14.5,54.4,0.8917
20040319,1200,2.8,-200,192,127,15.5,50.1,0.8744
20040319,1300,3,-200,176,122,16.1,47.6,0.8655
20040319,1400,3.3,-200,198,135,16.3,47.1,0.8640
20040319,1500,3.5,-200,212,139,16.4,47.5,0.8791
20040319,1600,4,-200,249,147,16.1,50.2,0.9094
20040319,1700,4.6,-200,270,158,16.0,50.7,0.9142
20040319,1800,4.1,-200,231,146,15.8,50.3,0.8989
20040319,1900,4.5,-200,251,144,15.5,50.6,0.8840
20040319,2000,3.9,-200,210,138,15.4,51.4,0.8956
20040319,2100,4,-200,249,143,15.2,53.1,0.9117
20040319,2200,2.2,-200,143,116,14.7,57.6,0.9573
20040319,2300,2.1,-200,127,109,14.2,58.3,0.9380
20040320,0000,1.7,-200,104,92,13.8,57.9,0.9085
20040320,0100,1.6,-200,86,83,13.9,55.9,0.8842
20040320,0200,1.3,-200,74,81,13.9,55.6,0.8765
20040320,0300,1.3,-200,-200,-200,13.8,55.1,0.8666
20040320,0400,-200,-200,44,55,13.8,54.6,0.8574
20040320,0500,0.8,-200,42,53,13.6,55.1,0.8560
20040320,0600,0.8,-200,63,67,13.6,59.0,0.9129
20040320,0700,1.1,-200,115,91,13.5,58.4,0.8960
20040320,0800,2.1,-200,170,113,13.8,58.0,0.9083
20040320,0900,2.4,-200,147,102,14.6,53.1,0.8765
20040320,1000,2.6,-200,166,107,15.0,52.3,0.8881
20040320,1100,2.8,-200,195,113,15.4,52.1,0.9046
20040320,1200,2.6,-200,182,108,16.3,50.0,0.9158
20040320,1300,2.6,-200,168,105,17.1,47.9,0.9281
20040320,1400,2.1,-200,125,93,19.0,42.9,0.9370
20040320,1500,1.7,-200,95,87,19.5,42.3,0.9476
20040320,1600,1.6,-200,79,76,19.5,42.3,0.9493
20040320,1700,2.1,-200,119,94,19.1,43.8,0.9556
20040320,1800,2.3,-200,142,110,18.5,46.3,0.9744
20040320,1900,3.5,-200,215,136,17.4,51.6,1.0159
20040320,2000,3.9,-200,229,139,17.1,51.3,0.9914
20040320,2100,3.3,-200,206,125,16.4,53.8,0.9964
20040320,2200,2.3,-200,147,111,16.2,55.4,1.0132
20040320,2300,2.1,-200,122,97,15.9,57.7,1.0356
20040321,0000,2.8,-200,175,107,15.7,58.6,1.0396
20040321,0100,2.1,-200,133,90,15.1,60.9,1.0398
20040321,0200,1.6,-200,89,84,15.6,56.6,0.9951
20040321,0300,1.6,-200,-200,-200,15.2,57.9,0.9941
20040321,0400,-200,-200,85,87,15.4,57.8,1.0021
20040321,0500,1.1,-200,55,66,14.9,60.6,1.0196
20040321,0600,0.7,-200,24,36,14.5,63.0,1.0316
20040321,0700,0.8,-200,72,62,14.2,66.2,1.0630
20040321,0800,1.2,-200,122,91,14.5,65.3,1.0704
20040321,0900,1.4,-200,111,89,15.3,62.1,1.0730
20040321,1000,1.7,-200,123,93,16.3,59.0,1.0868
20040321,1100,1.8,-200,106,81,18.9,49.6,1.0700
20040321,1200,1.8,-200,103,82,19.4,46.1,1.0249
20040321,1300,1.9,-200,102,80,20.8,41.6,1.0091
20040321,1400,1.3,-200,48,48,21.4,40.3,1.0126
20040321,1500,1.6,-200,63,61,21.2,39.3,0.9791
20040321,1600,1.9,-200,98,89,20.3,38.0,0.8942
20040321,1700,2.3,-200,132,105,19.4,41.3,0.9206
20040321,1800,3.8,-200,173,116,18.5,43.8,0.9252
20040321,1900,3.5,-200,185,119,17.8,48.1,0.9689
20040321,2000,4.3,-200,266,144,17.9,46.9,0.9520
20040321,2100,2.8,-200,188,123,17.4,49.1,0.9688
20040321,2200,1.9,-200,122,105,17.0,51.7,0.9914
20040321,2300,1.9,-200,112,93,16.4,55.1,1.0198
20040322,0000,1.7,-200,93,86,16.1,60.0,1.0919
20040322,0100,1.5,-200,74,76,15.8,60.5,1.0805
20040322,0200,0.6,-200,23,33,16.3,57.0,1.0491
20040322,0300,0.4,-200,-200,-200,16.9,53.9,1.0309
20040322,0400,-200,-200,17,27,16.1,55.9,1.0153
20040322,0500,0.3,-200,15,23,16.5,53.9,1.0049
20040322,0600,0.6,-200,41,46,16.4,54.0,0.9979
20040322,0700,1.2,-200,86,76,15.7,57.6,1.0195
20040322,0800,3.6,-200,226,116,15.8,53.7,0.9571
20040322,0900,3.7,-200,214,115,17.4,42.1,0.8281
20040322,1000,1.8,-200,115,83,17.9,38.4,0.7793
20040322,1100,1.6,-200,124,87,18.5,36.7,0.7764
20040322,1200,1.9,-200,122,90,21.0,29.6,0.7263
20040322,1300,2,-200,107,87,21.3,28.1,0.7067
20040322,1400,2.2,-200,133,99,21.3,26.1,0.6539
20040322,1500,2.1,-200,130,99,21.3,26.8,0.6681
20040322,1600,2.3,451,150,101,21.3,24.2,0.6060
20040322,1700,2.6,185,138,103,20.2,28.5,0.6682
20040322,1800,3.8,426,213,129,17.0,43.1,0.8264
20040322,1900,4.4,672,232,143,15.6,47.4,0.8347
20040322,2000,4.5,624,238,146,15.3,47.4,0.8178
20040322,2100,3.3,325,180,124,14.5,49.7,0.8177
20040322,2200,2,143,128,113,13.9,52.0,0.8231
20040322,2300,1.1,89,65,80,14.5,49.4,0.8106
20040323,0000,0.9,73,53,72,13.8,51.4,0.8071
20040323,0100,0.8,48,47,64,14.0,51.3,0.8163
20040323,0200,0.7,47,51,70,13.0,56.8,0.8444
20040323,0300,0.5,36,-200,-200,11.0,70.0,0.9215
20040323,0400,-200,25,20,31,10.1,76.8,0.9483
20040323,0500,0.3,19,13,22,8.8,80.5,0.9147
20040323,0600,0.5,26,33,47,9.6,75.4,0.9004
20040323,0700,1.1,60,103,88,9.8,75.0,0.9093
20040323,0800,3,248,224,130,10.0,74.2,0.9117
20040323,0900,3.8,535,244,132,11.2,69.7,0.9232
20040323,1000,3.4,340,237,132,12.0,62.9,0.8803
20040323,1100,3,325,220,131,12.8,55.8,0.8210
20040323,1200,2.7,267,207,129,13.1,54.8,0.8234
20040323,1300,3.5,325,208,132,13.8,53.4,0.8351
20040323,1400,2.8,268,160,110,16.0,42.4,0.7674
20040323,1500,1.9,136,131,99,14.1,49.8,0.7971
20040323,1600,2,118,128,100,12.0,61.1,0.8537
20040323,1700,3,276,176,122,13.6,54.6,0.8465
20040323,1800,1.9,151,107,97,13.7,49.5,0.7695
20040323,1900,2.7,236,131,112,11.7,57.1,0.7822
20040323,2000,3.3,220,166,128,11.5,58.2,0.7867
20040323,2100,1.7,87,89,101,12.6,54.2,0.7881
20040323,2200,1.3,81,81,96,12.0,54.9,0.7664
20040323,2300,1.3,74,78,86,11.0,61.4,0.8057
20040324,0000,1.2,55,70,85,11.1,62.2,0.8199
20040324,0100,1.1,74,76,79,10.8,62.5,0.8082
20040324,0200,0.9,35,43,61,11.3,60.0,0.8025
20040324,0300,0.6,29,-200,-200,10.6,61.6,0.7856
20040324,0400,-200,29,44,66,10.2,62.7,0.7813
20040324,0500,0.6,20,34,54,10.9,58.6,0.7628
20040324,0600,0.8,32,43,57,10.8,57.2,0.7382
20040324,0700,1.2,84,79,75,10.4,59.2,0.7455
20040324,0800,3.1,245,174,97,11.0,57.3,0.7501
20040324,0900,4.4,553,235,110,11.2,56.9,0.7565
20040324,1000,3.4,450,218,113,12.1,54.9,0.7734
20040324,1100,1.7,118,136,88,15.1,44.3,0.7535
20040324,1200,1.5,118,117,85,15.6,40.6,0.7146
20040324,1300,1.7,144,119,96,16.9,34.6,0.6597
20040324,1400,2.2,159,126,106,16.6,35.6,0.6697
20040324,1500,-200,122,100,91,11.3,63.9,0.8554
20040324,1600,2.7,230,197,126,9.6,81.1,0.9720
20040324,1700,2.8,320,195,130,11.7,69.1,0.9497
20040324,1800,2.7,263,156,111,10.7,68.5,0.8794
20040324,1900,4.5,556,247,134,10.7,67.3,0.8643
20040324,2000,3.5,458,190,136,10.8,65.7,0.8486
20040324,2100,2.6,214,169,125,10.3,66.3,0.8336
20040324,2200,1.7,97,118,108,10.1,66.9,0.8248
20040324,2300,1.3,79,81,87,10.4,61.1,0.7717
20040325,0000,1.3,81,80,89,10.3,59.9,0.7516
20040325,0100,1,52,42,58,11.0,58.4,0.7686
20040325,0200,0.7,38,38,54,9.1,68.1,0.7890
20040325,0300,0.7,35,-200,-200,9.5,68.2,0.8091
20040325,0400,0.5,29,18,28,9.3,72.3,0.8496
20040325,0500,0.5,21,12,20,9.9,66.8,0.8152
20040325,0600,0.6,46,43,51,7.6,83.2,0.8695
20040325,0700,1.1,55,84,82,8.1,79.0,0.8544
20040325,0800,2.7,271,184,112,8.7,74.6,0.8429
20040325,0900,3.5,434,202,119,8.6,75.1,0.8415
20040325,1000,2.3,300,133,99,9.7,69.7,0.8389
20040325,1100,1.6,116,130,98,11.0,64.4,0.8447
20040325,1200,1.3,95,106,88,13.6,53.0,0.8209
20040325,1300,2,211,132,96,14.2,48.4,0.7780
20040325,1400,1.9,168,106,81,14.2,46.3,0.7438
20040325,1500,1.9,154,125,92,16.0,41.3,0.7462
20040325,1600,2.2,267,138,105,17.7,35.4,0.7094
20040325,1700,2,143,120,88,17.1,37.4,0.7225
20040325,1800,2.9,374,158,103,14.9,40.5,0.6835
20040325,1900,5.2,797,253,141,13.4,47.8,0.7293
20040325,2000,4.6,698,231,133,12.6,52.5,0.7642
20040325,2100,2.5,234,150,119,12.2,53.2,0.7555
20040325,2200,1.5,104,99,106,10.6,56.1,0.7140
20040325,2300,1.2,67,75,92,9.9,59.5,0.7276
20040326,0000,1.7,88,93,97,9.6,61.1,0.7323
20040326,0100,1.4,79,79,91,9.7,61.6,0.7425
20040326,0200,1.2,61,67,83,9.4,62.6,0.7398
20040326,0300,0.6,43,-200,-200,8.2,68.5,0.7455
20040326,0400,0.7,40,45,59,8.0,69.4,0.7459
20040326,0500,0.8,52,72,73,7.7,72.4,0.7655
20040326,0600,0.9,64,103,78,8.0,71.8,0.7711
20040326,0700,1.6,88,132,90,8.5,66.3,0.7375
20040326,0800,3.4,375,239,110,9.8,59.6,0.7214
20040326,0900,3.8,592,275,114,11.2,57.0,0.7544
20040326,1000,3.1,357,232,119,14.8,44.1,0.7407
20040326,1100,2.7,296,180,121,16.8,35.3,0.6729
20040326,1200,2,181,112,97,19.2,27.1,0.5976
20040326,1300,2.3,211,116,99,19.1,26.2,0.5741
20040326,1400,1.9,199,103,85,16.3,30.8,0.5683
20040326,1500,1.3,81,89,75,14.2,36.8,0.5922
20040326,1600,1.9,143,112,87,13.4,41.0,0.6292
20040326,1700,2.3,247,127,102,14.2,43.3,0.6982
20040326,1800,2.4,239,125,105,12.1,45.6,0.6403
20040326,1900,2.7,267,120,98,10.4,48.0,0.6046
20040326,2000,2.6,261,120,93,10.0,51.1,0.6280
20040326,2100,1.5,97,99,91,9.8,50.8,0.6172
20040326,2200,1.2,66,79,85,9.7,50.4,0.6063
20040326,2300,1.1,60,66,74,9.9,50.2,0.6103
20040327,0000,1.5,77,94,87,9.4,53.4,0.6300
20040327,0100,1,57,70,79,8.6,57.8,0.6488
20040327,0200,1.2,65,75,78,8.1,62.1,0.6746
20040327,0300,1.1,59,-200,-200,7.9,63.5,0.6777
20040327,0400,-200,48,57,63,7.4,64.8,0.6683
20040327,0500,0.8,27,32,48,8.2,58.9,0.6444
20040327,0600,0.9,25,54,59,6.3,66.6,0.6410
20040327,0700,1.1,42,68,65,7.2,62.9,0.6396
20040327,0800,1.5,78,98,71,7.2,63.9,0.6500
20040327,0900,1.8,128,128,84,11.1,50.5,0.6654
20040327,1000,2.1,184,129,93,15.5,36.1,0.6313
20040327,1100,2.1,156,130,99,17.8,29.2,0.5920
20040327,1200,1.9,176,111,93,17.6,30.1,0.6013
20040327,1300,2.1,232,106,96,19.1,26.8,0.5861
20040327,1400,2.5,305,137,114,17.7,28.6,0.5735
20040327,1500,1.9,150,113,101,17.8,28.4,0.5737
20040327,1600,2.2,188,122,108,18.7,26.0,0.5555
20040327,1700,2.3,221,137,117,17.1,31.3,0.6038
20040327,1800,2.7,219,165,125,15.8,36.1,0.6440
20040327,1900,3,306,196,133,14.7,40.1,0.6657
20040327,2000,2.8,270,174,119,13.6,44.9,0.6991
20040327,2100,2.2,231,140,107,12.5,48.1,0.6946
20040327,2200,1.6,125,102,96,11.8,50.8,0.7042
20040327,2300,2.1,122,130,105,10.9,56.1,0.7326
20040328,0000,2.3,161,121,102,10.9,55.9,0.7277
20040328,0100,2.3,101,111,97,10.3,58.1,0.7278
20040328,0200,1.7,95,87,79,9.3,62.2,0.7294
20040328,0300,2.2,129,-200,-200,8.2,66.7,0.7276
20040328,0400,1.3,96,77,69,8.3,64.9,0.7124
20040328,0500,0.8,54,39,52,9.6,58.5,0.7000
20040328,0600,1.1,63,77,62,7.7,66.4,0.6990
20040328,0700,1.4,72,91,69,7.4,68.0,0.7043
20040328,0800,1.3,91,105,75,9.7,58.6,0.7035
20040328,0900,1.9,127,133,83,12.5,50.1,0.7242
20040328,1000,2.3,193,128,94,16.8,36.9,0.7018
20040328,1100,2.3,188,126,96,19.2,31.3,0.6887
20040328,1200,1.8,151,92,86,21.3,26.4,0.6607
20040328,1300,1.4,103,66,72,21.2,23.1,0.5768
20040328,1400,1,55,50,53,18.6,25.0,0.5319
20040328,1500,1.4,104,70,65,18.0,27.3,0.5594
20040328,1600,1.3,116,73,70,18.2,28.3,0.5848
20040328,1700,1.3,93,77,75,17.0,31.4,0.6048
20040328,1800,1.4,93,86,86,15.6,35.0,0.6170
20040328,1900,1.9,155,93,94,14.1,40.2,0.6438
20040328,2000,1.8,115,105,103,13.4,43.2,0.6623
20040328,2100,1.1,75,67,81,12.3,46.8,0.6686
20040328,2200,1.1,65,63,80,11.9,46.5,0.6449
20040328,2300,1.1,57,63,77,11.5,46.6,0.6319
20040329,0000,0.9,40,46,58,10.6,48.0,0.6135
20040329,0100,0.6,27,21,31,10.7,45.8,0.5895
20040329,0200,0.5,23,22,38,10.4,46.6,0.5901
20040329,0300,0.7,28,-200,-200,10.1,47.8,0.5913
20040329,0400,0.6,21,39,59,11.3,46.9,0.6280
20040329,0500,0.7,33,55,70,10.1,51.2,0.6341
20040329,0600,0.9,40,76,75,9.9,50.7,0.6167
20040329,0700,2.9,279,181,103,8.1,56.8,0.6150
20040329,0800,4.1,743,259,134,10.9,44.1,0.5748
20040329,0900,1.5,147,118,98,11.8,37.6,0.5184
20040329,1000,1.5,97,119,97,13.9,33.2,0.5222
20040329,1100,1.5,118,123,98,15.6,30.1,0.5285
20040329,1200,1.4,91,92,78,16.5,29.0,0.5406
20040329,1300,1.6,146,91,83,17.5,27.9,0.5517
20040329,1400,1.5,139,103,92,17.9,26.8,0.5446
20040329,1500,1.4,155,102,81,18.2,26.1,0.5387
20040329,1600,1.5,128,94,90,18.0,27.1,0.5522
20040329,1700,1.9,166,98,95,17.0,28.9,0.5558
20040329,1800,2.5,299,126,114,16.1,31.3,0.5680
20040329,1900,2.1,163,108,106,14.5,35.4,0.5839
20040329,2000,1.6,154,95,99,13.2,37.9,0.5733
20040329,2100,1.2,80,78,90,13.1,34.4,0.5170
20040329,2200,1.1,58,61,82,13.5,28.5,0.4405
20040329,2300,1,55,55,74,12.4,31.9,0.4583
