Date,Time,HZ,Displace,Flow,SedimentPPM,PressureLbs,ChlorinePPM
3/10/14,6:29,9.95,2.561,1355,0.61,95,0.81
3/10/14,6:30,9.77,2.565,1357,0.49,98,0.7
3/10/14,6:32,10.06,2.569,1359,1.29,76,1.27
3/10/14,6:33,10.17,2.571,1361,1.41,83,1.56
3/10/14,6:35,10.05,2.575,1363,0.08,82,1.17
3/10/14,6:36,9.71,2.586,1369,1.78,78,1.15
3/10/14,6:37,9.85,2.588,1370,1.45,100,1.31
3/10/14,6:39,10.28,2.597,1374,1.15,78,1.88
3/10/14,6:40,9.87,2.601,1376,0.72,93,0.94
3/10/14,6:42,10.24,2.61,1381,1.69,84,1.5
3/10/14,6:43,10.2,2.613,1383,0.84,93,0.84
3/10/14,6:45,9.93,2.619,1386,0.82,80,0.81
3/10/14,6:46,10.39,2.622,1387,1.93,78,0.91
3/10/14,6:48,10.48,2.634,1394,0.06,79,1.24
3/10/14,6:49,9.63,2.642,1398,0.56,85,1.63
3/10/14,6:50,10.49,2.645,1400,1.36,95,1.88
3/10/14,6:52,9.97,2.651,1403,0.6,91,0.76
3/10/14,6:53,9.63,2.664,1410,1.38,90,1.88
3/10/14,6:55,10.32,2.673,1415,1.74,75,0.91
3/10/14,6:56,9.67,2.68,1418,0.73,81,1.53
3/10/14,6:58,9.57,2.683,1420,1.03,100,0.98
3/10/14,6:59,9.88,2.686,1421,1.84,96,1.77
3/10/14,7:01,10.22,2.692,1425,0.01,94,1.18
3/10/14,7:02,9.94,2.704,1431,0.23,99,1.12
3/10/14,7:03,9.95,2.707,1433,1.53,82,1.92
3/10/14,7:05,10.46,2.713,1435,0.1,97,1.23
3/10/14,7:06,10.12,2.724,1442,0.3,79,1.14
3/10/14,7:08,10.04,2.731,1445,1.8,79,1.09
3/10/14,7:09,9.51,2.734,1447,1.57,76,1.79
3/10/14,7:11,9.98,2.737,1448,0.71,84,1.61
3/10/14,7:12,10.27,2.739,1450,1.79,84,0.54
3/10/14,7:13,10.41,2.743,1452,0.24,81,1.93
3/10/14,7:15,10.35,2.747,1454,0.51,81,1.28
3/10/14,7:16,9.87,2.75,1455,1.42,78,1.52
3/10/14,7:18,10.22,2.762,1462,0.32,79,1.18
3/10/14,7:19,9.87,2.773,1467,1.22,78,1.13
3/10/14,7:21,9.75,2.778,1470,0.97,99,1.43
3/10/14,7:22,9.82,2.783,1473,1.32,95,1.81
3/10/14,7:24,10.39,2.79,1476,0.13,99,1.6
3/10/14,7:25,10.47,2.8,1482,1.88,80,0.76
3/10/14,7:26,9.94,2.804,1484,0.2,83,1.94
3/10/14,7:28,9.54,2.806,1485,0.35,85,1.37
3/10/14,7:29,9.69,2.809,1486,0.58,79,1.1
3/10/14,7:31,10.5,2.81,1487,0.81,95,0.51
3/10/14,7:32,10.28,2.815,1490,1.82,81,1.62
3/10/14,7:34,9.63,2.821,1493,0.74,84,1.32
3/10/14,7:35,10.14,2.828,1497,1.45,81,1.31
3/10/14,7:37,9.71,2.836,1501,0.53,87,0.61
3/10/14,7:38,9.61,2.843,1504,1.48,75,0.66
3/10/14,7:39,10.01,2.845,1505,1.08,100,1.36
3/10/14,7:41,9.88,2.847,1506,0.91,82,0.72
3/10/14,7:42,10.17,2.86,1513,0.1,89,1.24
3/10/14,7:44,10.31,2.867,1517,1.64,93,1.51
3/10/14,7:45,9.51,2.879,1524,0.29,100,1.97
3/10/14,7:47,9.92,2.89,1529,1.53,88,1.89
3/10/14,7:48,9.6,2.9,1535,1.47,87,1.76
3/10/14,7:49,9.93,2.911,1540,1.52,92,1.52
3/10/14,7:51,10.05,2.913,1542,0.1,81,1.95
3/10/14,7:52,9.53,2.925,1548,0.9,98,0.95
3/10/14,7:54,9.82,2.935,1553,0.53,75,0.54
3/10/14,7:55,9.74,2.942,1557,0.75,92,1.29
3/10/14,7:57,10.43,2.945,1558,0.44,94,1.45
3/10/14,7:58,10.02,2.948,1560,0.15,82,1.77
3/10/14,8:00,9.67,2.959,1566,0.24,91,1.82
3/10/14,8:01,10.11,2.969,1571,0.81,80,0.85
3/10/14,8:02,10.11,2.973,1573,0.35,98,0.92
3/10/14,8:04,10.48,2.978,1576,1.35,90,0.59
3/10/14,8:05,9.51,2.981,1577,0.89,75,0.85
3/10/14,8:07,9.67,2.983,1578,0.69,84,0.65
3/10/14,8:08,9.52,2.985,1579,0.58,85,1.22
3/10/14,8:10,10.16,2.997,1586,1.09,88,1.01
3/10/14,8:11,9.97,3.007,1591,1.72,76,1.72
3/10/14,8:13,10.18,3.01,1593,0.51,83,1.6
3/10/14,8:14,9.61,3.012,1594,1.44,91,1.39
3/10/14,8:15,10,3.015,1596,0.19,93,0.99
3/10/14,8:17,10,3.017,1597,1.76,89,0.57
3/10/14,8:18,10,3.025,1601,0.07,78,1.67
3/10/14,8:20,9.74,3.038,1608,1.31,85,0.91
3/10/14,8:21,10.39,3.041,1609,1.4,77,0.56
3/10/14,8:23,10.31,3.053,1615,1.77,90,1.51
3/10/14,8:24,9.65,3.056,1617,0.36,78,1.53
3/10/14,8:25,10.07,3.059,1619,1.28,88,1.13
3/10/14,8:27,10.17,3.061,1620,0.68,95,0.95
3/10/14,8:28,9.61,3.066,1622,0.66,100,0.56
3/10/14,8:30,9.54,3.075,1627,0.79,90,1.03
3/10/14,8:31,9.86,3.08,1630,1.2,95,1.99
3/10/14,8:33,9.72,3.083,1631,1.63,94,0.92
3/10/14,8:34,9.68,3.087,1634,0.61,81,1.51
3/10/14,8:36,10.5,3.094,1637,1.83,97,1.23
3/10/14,8:37,10.33,3.086,1633,0.61,92,1.3
3/10/14,8:38,10.45,3.081,1630,1.59,92,0.56
3/10/14,8:40,10.11,3.079,1629,0.95,76,1.11
3/10/14,8:41,9.68,3.069,1624,0.72,92,1.66
3/10/14,8:43,10.47,3.067,1623,0.85,78,0.83
3/10/14,8:44,10.39,3.063,1621,0.12,83,0.85
3/10/14,8:46,10.46,3.061,1620,0.14,89,1.49
3/10/14,8:47,9.76,3.051,1615,0.67,76,1.27
3/10/14,8:49,10.35,3.049,1614,1.08,93,0.75
3/10/14,8:50,9.89,3.046,1612,0.55,96,0.73
3/10/14,8:51,9.94,3.039,1608,1.92,79,1.69
3/10/14,8:53,9.89,3.03,1603,1.5,78,0.75
3/10/14,8:54,10.1,3.023,1600,0.62,85,1
3/10/14,8:56,9.74,3.021,1599,0.29,79,1.21
3/10/14,8:57,9.71,3.015,1595,0.83,80,1.73
3/10/14,8:59,9.6,3.01,1593,0.93,92,1.96
3/10/14,9:00,9.93,3.007,1591,0.66,81,1.36
3/10/14,9:01,10.45,3.001,1588,1.52,97,0.77
3/10/14,9:03,10.49,2.993,1584,0.83,90,0.98
3/10/14,9:04,9.72,2.985,1580,1.9,88,0.62
3/10/14,9:06,9.57,2.979,1576,1.48,82,1.09
3/10/14,9:07,10.33,2.976,1575,1.23,91,1.94
3/10/14,9:09,9.84,2.973,1573,0.28,77,0.68
3/10/14,9:10,10.11,2.971,1572,1.31,83,1.93
3/10/14,9:12,9.7,2.962,1567,1.49,99,1.62
3/10/14,9:13,10.01,2.951,1562,0.91,84,1.59
3/10/14,9:14,9.53,2.944,1558,1.31,94,1.51
3/10/14,9:16,10.39,2.94,1556,1.39,93,1.57
3/10/14,9:17,10.45,2.936,1554,1.3,80,1.52
3/10/14,9:19,10.49,2.932,1552,0.96,95,1.98
3/10/14,9:20,9.7,2.926,1548,0.5,79,0.87
3/10/14,9:22,10.02,2.921,1546,1.43,84,1.87
3/10/14,9:23,10.23,2.918,1544,0.06,92,1.69
3/10/14,9:25,9.62,2.916,1543,1.88,80,1.77
3/10/14,9:26,9.99,2.911,1541,0.16,99,1.23
3/10/14,9:27,9.93,2.897,1533,0.92,89,1.22
3/10/14,9:29,10.23,2.895,1532,0.92,80,1.67
3/10/14,9:30,10.32,2.892,1531,1.4,92,1.51
3/10/14,9:32,9.84,2.89,1529,0.68,94,1.16
3/10/14,9:33,10.13,2.88,1524,1.66,78,1.82
3/10/14,9:35,9.62,2.872,1520,1.05,87,1.52
3/10/14,9:36,10.42,2.87,1519,1.68,85,1.27
3/10/14,9:37,9.86,2.865,1516,0.16,91,1.13
3/10/14,9:39,10.38,2.858,1512,0.42,89,1.18
3/10/14,9:40,10.26,2.853,1510,0.91,96,1.08
3/10/14,9:42,9.53,2.85,1508,0.57,88,1.31
3/10/14,9:43,10.39,2.848,1507,1.56,86,0.93
3/10/14,9:45,10.42,2.84,1503,1.95,84,0.66
3/10/14,9:46,9.56,2.837,1501,1.39,88,1.9
3/10/14,9:48,10.01,2.834,1500,1.49,91,1.98
3/10/14,9:49,10.33,2.827,1496,1.55,90,0.56
3/10/14,9:50,9.6,2.822,1493,0.16,89,0.85
3/10/14,9:52,10.27,2.817,1491,0.4,95,1.33
3/10/14,9:53,10.06,2.813,1488,1.8,76,0.79
3/10/14,9:55,10.16,2.806,1485,0.58,90,0.54
3/10/14,9:56,9.76,2.8,1482,0.09,81,1.59
3/10/14,9:58,9.62,2.794,1479,0.94,89,1.52
3/10/14,9:59,9.69,2.783,1473,0.36,83,1.09
3/10/14,10:01,9.73,2.771,1466,1.74,80,0.96
3/10/14,10:02,9.9,2.767,1464,0.07,95,0.78
3/10/14,10:03,10.34,2.762,1462,1.36,82,1.11
3/10/14,10:05,10.25,2.752,1456,1.92,89,1
3/10/14,10:06,9.53,2.748,1454,1.37,96,0.95
3/10/14,10:08,9.56,2.744,1452,0.89,99,0.7
3/10/14,10:09,9.82,2.741,1451,0.87,85,1.68
3/10/14,10:11,9.58,2.737,1449,1.03,77,1.58
3/10/14,10:12,9.89,2.733,1446,1.97,90,1.1
3/10/14,10:13,10.06,2.722,1440,1.01,94,0.87
3/10/14,10:15,9.97,2.72,1439,0.62,94,1.23
3/10/14,10:16,9.89,2.711,1435,0.35,76,1.32
3/10/14,10:18,10.14,2.709,1434,1.37,84,1.47
3/10/14,10:19,9.84,2.7,1429,1.52,86,1.58
3/10/14,10:21,9.88,2.696,1427,1.26,94,1.13
3/10/14,10:22,10.49,2.692,1424,0.33,89,1.95
3/10/14,10:24,9.75,2.686,1421,0.51,95,0.53
3/10/14,10:25,9.99,2.678,1417,0.15,93,1.76
3/10/14,10:26,9.7,2.673,1414,0.72,76,1.11
3/10/14,10:28,9.97,2.661,1408,1.72,98,1.34
3/10/14,10:29,10.32,2.655,1405,1.8,97,1.4
3/10/14,10:31,9.54,2.651,1403,1.17,83,0.52
3/10/14,10:32,10.16,2.647,1401,0.21,80,1.26
3/10/14,10:34,9.56,2.641,1397,0.68,83,1.05
3/10/14,10:35,10.04,2.629,1391,1.15,88,1.72
3/10/14,10:37,10.28,2.627,1390,0.01,93,1.62
3/10/14,10:38,9.78,2.62,1387,1.72,86,0.66
3/10/14,10:39,9.77,2.618,1385,1.9,89,0.89
3/10/14,10:41,9.96,2.615,1384,0.67,95,1.61
3/10/14,10:42,9.62,2.612,1382,0.88,87,1.94
3/10/14,10:44,9.82,2.609,1381,0.53,98,1.29
3/10/14,10:45,10.38,2.607,1380,0.53,91,1.7
3/10/14,10:47,9.59,2.611,1382,1.77,91,1.1
3/10/14,10:48,10.08,2.617,1385,1.33,96,1.71
3/10/14,10:49,9.8,2.622,1387,0.39,75,1.29
3/10/14,10:51,10.2,2.629,1391,1.32,88,1.12
3/10/14,10:52,10.42,2.632,1393,0.32,93,0.52
3/10/14,10:54,10.31,2.634,1394,0.8,97,0.73
3/10/14,10:55,10.13,2.641,1397,1.52,88,0.6
3/10/14,10:57,9.53,2.65,1402,1.59,85,0.83
3/10/14,10:58,9.5,2.652,1403,0.18,80,1.71
3/10/14,11:00,10,2.654,1405,1.45,95,1.71
3/10/14,11:01,9.98,2.658,1407,0.33,83,0.67
3/10/14,11:02,10.42,2.66,1408,0.38,97,0.86
3/10/14,11:04,10.17,2.665,1410,1.02,92,1.14
3/10/14,11:05,9.93,2.669,1412,1.51,81,1.81
3/10/14,11:07,10.1,2.674,1415,0.03,96,0.81
3/10/14,11:08,9.61,2.678,1417,1.1,84,0.57
3/10/14,11:10,10.22,2.681,1419,1.7,86,1.57
3/10/14,11:11,9.59,2.683,1420,0.95,78,1.38
3/10/14,11:13,10.44,2.685,1421,1.52,76,1.86
3/10/14,11:14,9.7,2.695,1426,1.1,84,1.67
3/10/14,11:15,9.57,2.705,1432,0.42,98,0.95
3/10/14,11:17,10.14,2.709,1434,1.69,85,1.48
3/10/14,11:18,10.15,2.714,1436,1.07,90,1.07
3/10/14,11:20,9.88,2.72,1439,1.35,92,1.51
3/10/14,11:21,10.44,2.724,1441,0.72,79,1.22
3/10/14,11:23,10.46,2.726,1443,1.65,98,1.77
3/10/14,11:24,9.53,2.733,1446,1.54,91,0.79
3/10/14,11:25,9.98,2.736,1448,0.37,87,1.42
3/10/14,11:27,9.74,2.745,1453,0.75,77,1.42
3/10/14,11:28,9.55,2.753,1457,1.64,89,0.84
3/10/14,11:30,10.02,2.757,1459,1.21,75,1.5
3/10/14,11:31,9.76,2.767,1464,1.7,93,0.62
3/10/14,11:33,10.44,2.774,1468,0.25,89,1.71
3/10/14,11:34,9.98,2.776,1469,1.07,96,1.51
3/10/14,11:36,10.32,2.779,1471,1.36,84,1.54
3/10/14,11:37,9.78,2.783,1472,0.48,79,1.51
3/10/14,11:38,10.19,2.788,1476,1.64,91,1.18
3/10/14,11:40,9.95,2.796,1479,1.84,85,0.83
3/10/14,11:41,9.8,2.801,1482,1.14,80,1.25
3/10/14,11:43,9.78,2.805,1484,1.13,88,1.5
3/10/14,11:44,9.9,2.808,1486,0.14,79,1
3/10/14,11:46,10.45,2.81,1487,0.23,97,0.61
3/10/14,11:47,10.39,2.819,1492,0.42,91,1.59
3/10/14,11:49,10.49,2.825,1495,0.04,78,1.64
3/10/14,11:50,9.68,2.828,1497,1.32,78,1.96
